segment,control_point,x,y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-1.428579270449801542e-01,5.714089663425170329e-02
0.000000000000000000e+00,2.000000000000000000e+00,-2.857158540899603083e-01,1.142817932685034066e-01
0.000000000000000000e+00,3.000000000000000000e+00,-4.272485500690064719e-01,1.747358994266928478e-01
0.000000000000000000e+00,4.000000000000000000e+00,-5.647016867434527798e-01,8.203494135959027433e-02
0.000000000000000000e+00,5.000000000000000000e+00,-7.234778078703509863e-01,1.698257657086562622e-01
0.000000000000000000e+00,6.000000000000000000e+00,-8.701998368656644889e-01,2.760524384765019046e-01
0.000000000000000000e+00,7.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.109248470638065642e+00,5.043225309489443031e-01
1.000000000000000000e+00,2.000000000000000000e+00,-1.206509444495031502e+00,6.211985887170837772e-01
1.000000000000000000e+00,3.000000000000000000e+00,-1.288880565007721524e+00,7.502018864665253028e-01
1.000000000000000000e+00,4.000000000000000000e+00,-1.428571428571428825e+00,9.860961529821489213e-01
1.000000000000000000e+00,5.000000000000000000e+00,-1.476190476190476275e+00,1.154770115040155254e+00
1.000000000000000000e+00,6.000000000000000000e+00,-1.500000000000000000e+00,1.327385057520077627e+00
1.000000000000000000e+00,7.000000000000000000e+00,-1.500000000000000000e+00,1.500000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,1.500000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,-1.500000000000000000e+00,1.672614942479922373e+00
2.000000000000000000e+00,2.000000000000000000e+00,-1.476190476190476275e+00,1.845229884959844746e+00
2.000000000000000000e+00,3.000000000000000000e+00,-1.428571428571428825e+00,2.013903847017851412e+00
2.000000000000000000e+00,4.000000000000000000e+00,-1.325028742914063473e+00,2.195603627789985079e+00
2.000000000000000000e+00,5.000000000000000000e+00,-1.234058372443193052e+00,2.345146194003012052e+00
2.000000000000000000e+00,6.000000000000000000e+00,-1.124858094011773613e+00,2.480771673043165482e+00
2.000000000000000000e+00,7.000000000000000000e+00,-1.000000000000000000e+00,2.600000000000000089e+00
3.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.600000000000000089e+00
3.000000000000000000e+00,1.000000000000000000e+00,-8.887403122667363320e-01,2.706243063624902412e+00
3.000000000000000000e+00,2.000000000000000000e+00,-7.650476957813043821e-01,2.799466135888675211e+00
3.000000000000000000e+00,3.000000000000000000e+00,-6.307420607885374508e-01,2.877914421523028565e+00
3.000000000000000000e+00,4.000000000000000000e+00,-4.587559116488309496e-01,2.942857142857143060e+00
3.000000000000000000e+00,5.000000000000000000e+00,-3.077237032648287851e-01,2.980952380952381020e+00
3.000000000000000000e+00,6.000000000000000000e+00,-1.538618516324143926e-01,3.000000000000000000e+00
3.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,1.538618516324143926e-01,3.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,3.077237032648287851e-01,2.980952380952381020e+00
4.000000000000000000e+00,3.000000000000000000e+00,4.587559116488309496e-01,2.942857142857143060e+00
4.000000000000000000e+00,4.000000000000000000e+00,6.307420607885374508e-01,2.877914421523028121e+00
4.000000000000000000e+00,5.000000000000000000e+00,7.650476957813043821e-01,2.799466135888675211e+00
4.000000000000000000e+00,6.000000000000000000e+00,8.887403122667363320e-01,2.706243063624902412e+00
4.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000089e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000089e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.124858094011773613e+00,2.480771673043165482e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.234058372443193052e+00,2.345146194003012052e+00
5.000000000000000000e+00,3.000000000000000000e+00,1.325028742914063473e+00,2.195603627789985524e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.428571428571428825e+00,2.013903847017851412e+00
5.000000000000000000e+00,5.000000000000000000e+00,1.476190476190476275e+00,1.845229884959844746e+00
5.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+00,1.672614942479922373e+00
5.000000000000000000e+00,7.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+00,1.327385057520077627e+00
6.000000000000000000e+00,2.000000000000000000e+00,1.476190476190476275e+00,1.154770115040155254e+00
6.000000000000000000e+00,3.000000000000000000e+00,1.428571428571428825e+00,9.860961529821489213e-01
6.000000000000000000e+00,4.000000000000000000e+00,1.288880565007721524e+00,7.502018864665254139e-01
6.000000000000000000e+00,5.000000000000000000e+00,1.206509444495031502e+00,6.211985887170837772e-01
6.000000000000000000e+00,6.000000000000000000e+00,1.109248470638065642e+00,5.043225309489443031e-01
6.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
7.000000000000000000e+00,1.000000000000000000e+00,8.701998368656644889e-01,2.760524384765019046e-01
7.000000000000000000e+00,2.000000000000000000e+00,7.234778078703508752e-01,1.698257657086562344e-01
7.000000000000000000e+00,3.000000000000000000e+00,5.647016867434523357e-01,8.203494135959016331e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.272485500690064719e-01,1.747358994266928478e-01
7.000000000000000000e+00,5.000000000000000000e+00,2.857158540899603083e-01,1.142817932685034066e-01
7.000000000000000000e+00,6.000000000000000000e+00,1.428579270449801542e-01,5.714089663425170329e-02
7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
