t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.761099999999999888e+00,-0.000000000000000000e+00,8.975274678557508545e-02,-1.384876209316609347e-02,-8.333379077623842557e-02,3.333218970331349590e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.610523864850369423e-04,4.026469907563223001e-04,-0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,-1.666675600410280796e-03,6.666442879533273974e-04,2.761099122166333686e+00,-2.389840675187767847e-04,8.975274352700325642e-02,-1.006236765833399584e-02,-8.333375849056448570e-02,3.333226164634340433e-02,3.232227871464387228e-06,6.767171125283484515e-06,1.621505565206397229e-04,2.745070635172794957e-04,-9.289954210631935945e-04
4.000000000000000083e-02,0.000000000000000000e+00,-3.333349907236867870e-03,1.333291198220657022e-03,2.761096839172455741e+00,-4.030015903255165506e-04,8.975272086160016038e-02,-6.352005013348389212e-03,-8.333366134861067143e-02,3.333244347921990314e-02,6.485233722455402506e-06,1.099768678327980609e-05,1.631304455826236598e-04,1.489777751260249773e-04,-1.566575751769557151e-03
5.999999999999999778e-02,0.000000000000000000e+00,-5.000021619355748438e-03,1.999942424741344739e-03,2.761093668834794013e+00,-4.935669693327689699e-04,8.975265977815601037e-02,-2.717046834616986505e-03,-8.333349895836916765e-02,3.333268498949505665e-02,9.756667580385034746e-06,1.274353986279929419e-05,1.639936172688718943e-04,2.603714906548689457e-05,-1.918627830560875073e-03
8.000000000000000167e-02,0.000000000000000000e+00,-6.666689428270674081e-03,2.666598667575090318e-03,2.761090118447787400e+00,-5.121818370401601738e-04,8.975254169309748731e-02,8.431559922316639658e-04,-8.333327097451939669e-02,3.333293700018836320e-02,1.304421067918971661e-05,1.205628446015914059e-05,1.647416286339449347e-04,-9.433671739657787899e-05,-1.990988850639813321e-03
1.000000000000000056e-01,0.000000000000000000e+00,-8.333352019040663611e-03,3.333259653523623980e-03,2.761086684873342190e+00,-4.603346454183059456e-04,8.975234844637980380e-02,4.329272027151018741e-03,-8.333297709780522478e-02,3.333315136102563830e-02,1.634557532846385908e-05,8.987037354879952322e-06,1.653760301890804397e-04,-2.121656532075835895e-04,-1.789444812184663117e-03
1.199999999999999956e-01,0.000000000000000000e+00,-1.000000807119507881e-02,3.999924156577462989e-03,2.761083854631976919e+00,-3.395002992370982743e-04,8.975206229762326682e-02,7.741987075165962517e-03,-8.333261707441445842e-02,3.333328093970733957e-02,1.965850478259338692e-05,3.586479485382317958e-06,1.658983659021928930e-04,-3.274714135301160975e-04,-1.319729105075808252e-03
1.400000000000000133e-01,0.000000000000000000e+00,-1.166665625963633247e-02,4.666590018188345769e-03,2.761082103995504244e+00,-1.511398320200407861e-04,8.975166592247918462e-02,1.108200212304926574e-02,-8.333219069536150492e-02,3.333327961320663169e-02,2.298077310988930585e-05,-4.095142575316559021e-06,1.663101731978743893e-04,-4.402756797419321837e-04,-5.875212173795233729e-04
1.600000000000000033e-01,0.000000000000000000e+00,-1.333329525553028118e-02,5.333254167367901602e-03,2.761081899081100133e+00,1.032998780462660813e-04,8.975114240920867292e-02,1.435003140594601559e-02,-8.333169779587266957e-02,3.333310225909680985e-02,2.631018506172123079e-05,-1.400801514390635061e-05,1.666129829573939028e-04,-5.506000594359605413e-04,4.015544350386748276e-04
1.799999999999999933e-01,0.000000000000000000e+00,-1.499992372718427988e-02,5.999912640613172359e-03,2.761083695946611627e+00,4.223863547762945689e-04,8.975047525545837290e-02,1.754680059697623709e-02,-8.333113825477299341e-02,3.333270474690815804e-02,2.964457594165089714e-05,-2.610275595108701503e-05,1.668083195186975307e-04,-6.584660864202999736e-04,1.641929562276562421e-03
2.000000000000000111e-01,0.000000000000000000e+00,-1.666654034091313505e-02,6.666560601659580858e-03,2.761087940686980158e+00,8.047017356155733436e-04,8.974964836522107692e-02,2.067304511312050008e-02,-8.333051199387736530e-02,3.333204392951458206e-02,3.298181147456578731e-05,-4.033041266587220574e-05,1.668977006764086560e-04,-7.638952207182221317e-04,3.128092941920760425e-03
2.200000000000000011e-01,0.000000000000000000e+00,-1.833314376189277076e-02,7.333192361061903128e-03,2.761095069531628976e+00,1.248842950497509917e-03,8.974864604596426154e-02,2.372950853097201968e-02,-8.332981897738295229e-02,3.333107763454949690e-02,3.631978767581258436e-05,-5.664246141989272965e-05,1.668826376818277580e-04,-8.669088485681684247e-04,4.854591252607832336e-03
