segment,control_point,X,Y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,-2.000010978629722103e-01,7.999725528795238738e-02
0.000000000000000000e+00,2.000000000000000000e+00,-4.083254885674753032e-01,1.633236952123637287e-01
0.000000000000000000e+00,3.000000000000000000e+00,-6.081167118452240894e-01,9.693395855577117970e-02
0.000000000000000000e+00,4.000000000000000000e+00,-8.182797716119303288e-01,2.264734138671026797e-01
0.000000000000000000e+00,5.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.152947858893291988e+00,5.460515433285220155e-01
1.000000000000000000e+00,2.000000000000000000e+00,-1.285746737030093012e+00,7.232636923175157495e-01
1.000000000000000000e+00,3.000000000000000000e+00,-1.449999999999999956e+00,1.020455255816776541e+00
1.000000000000000000e+00,4.000000000000000000e+00,-1.500000000000000000e+00,1.258339080528108500e+00
1.000000000000000000e+00,5.000000000000000000e+00,-1.500000000000000000e+00,1.500000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,1.500000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,-1.500000000000000000e+00,1.741660919471891500e+00
2.000000000000000000e+00,2.000000000000000000e+00,-1.449999999999999956e+00,1.987098933704342540e+00
2.000000000000000000e+00,3.000000000000000000e+00,-1.316714233872155804e+00,2.231733365412312597e+00
2.000000000000000000e+00,4.000000000000000000e+00,-1.174801331616483147e+00,2.433080342260431461e+00
2.000000000000000000e+00,5.000000000000000000e+00,-1.000000000000000000e+00,2.600000000000000089e+00
3.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.600000000000000089e+00
3.000000000000000000e+00,1.000000000000000000e+00,-8.442364371734307760e-01,2.748740289074863341e+00
3.000000000000000000e+00,2.000000000000000000e+00,-6.623581524742446769e-01,2.870143916569562137e+00
3.000000000000000000e+00,3.000000000000000000e+00,-4.308131845707602881e-01,2.959999999999999964e+00
3.000000000000000000e+00,4.000000000000000000e+00,-2.154065922853801440e-01,3.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.154065922853801440e-01,3.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,4.308131845707602881e-01,2.959999999999999964e+00
4.000000000000000000e+00,3.000000000000000000e+00,6.623581524742446769e-01,2.870143916569562137e+00
4.000000000000000000e+00,4.000000000000000000e+00,8.442364371734307760e-01,2.748740289074863341e+00
4.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000089e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000089e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.174801331616483147e+00,2.433080342260431461e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.316714233872155804e+00,2.231733365412312597e+00
5.000000000000000000e+00,3.000000000000000000e+00,1.449999999999999956e+00,1.987098933704342540e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00,1.741660919471891500e+00
5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+00,1.258339080528108500e+00
6.000000000000000000e+00,2.000000000000000000e+00,1.449999999999999956e+00,1.020455255816776541e+00
6.000000000000000000e+00,3.000000000000000000e+00,1.285746737030093012e+00,7.232636923175157495e-01
6.000000000000000000e+00,4.000000000000000000e+00,1.152947858893291988e+00,5.460515433285220155e-01
6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
7.000000000000000000e+00,1.000000000000000000e+00,8.182797716119303288e-01,2.264734138671026797e-01
7.000000000000000000e+00,2.000000000000000000e+00,6.081167118452240894e-01,9.693395855577117970e-02
7.000000000000000000e+00,3.000000000000000000e+00,4.083254885674753032e-01,1.633236952123637287e-01
7.000000000000000000e+00,4.000000000000000000e+00,2.000010978629722103e-01,7.999725528795238738e-02
7.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
