t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.761099999999999888e+00,8.975274678557508545e-02,3.857646347784204320e-17,1.245057156869430574e-03,-8.333379077623842557e-02,3.333218970331349590e-02,-1.156012894657067061e-03,4.623867550637436401e-04,1.499570980674132081e-16
2.000000000000000042e-02,0.000000000000000000e+00,-1.666906239090504673e-03,6.667292052106921002e-04,2.761110468855322075e+00,8.977714622443802583e-02,2.993838606781395930e-03,1.194971334458278314e-03,-8.335679425101637230e-02,3.334037846812555606e-02,-1.144348349945548994e-03,3.566818019519638972e-04,1.163789135655874177e-02
4.000000000000000083e-02,0.000000000000000000e+00,-3.334270220268339014e-03,1.333601121493266199e-03,2.761141710314855224e+00,8.980054903651014941e-02,5.950677270922119511e-03,1.145395138146501623e-03,-8.337956525970635635e-02,3.334646464561173695e-02,-1.132766225748592891e-03,2.521273818637196208e-04,2.313215747659926394e-02
5.999999999999999778e-02,0.000000000000000000e+00,-5.002087310671799597e-03,2.000573926951563532e-03,2.761193478512732113e+00,8.982296545319887193e-02,8.870933646421949939e-03,1.096332419830808999e-03,-8.340210544711205987e-02,3.335047120799582848e-02,-1.121266161413667908e-03,1.487196511332719042e-04,3.448461165628226993e-02
8.000000000000000167e-02,0.000000000000000000e+00,-6.670352910263133150e-03,2.667606258365171588e-03,2.761265529931943075e+00,8.984440578076609285e-02,1.175501721466359027e-02,1.047786813826732336e-03,-8.342441645082426804e-02,3.335242105062834195e-02,-1.109847796288243203e-03,4.645476609488238931e-05,4.569702111707829584e-02
1.000000000000000056e-01,0.000000000000000000e+00,-8.339062451684269364e-03,3.334657209651951601e-03,2.761357623351525792e+00,8.986488039602261169e-02,1.460332932327679245e-02,9.997617414704560498e-04,-8.344649990122066097e-02,3.335233699198646845e-02,-1.098510769719788366e-03,-5.467111691718771539e-05,5.677110787305519879e-02
1.199999999999999956e-01,0.000000000000000000e+00,-1.000821140011255370e-02,4.001686330330575352e-03,2.761469519794645944e+00,8.988439974211361039e-02,1.741626323109806210e-02,9.522604156155815760e-04,-8.346835742146575809e-02,3.335024177367405807e-02,-1.087254721055772120e-03,-1.546618415686771067e-04,6.770854958693502124e-02
1.400000000000000133e-01,0.000000000000000000e+00,-1.167779525311650121e-02,4.668653623983063175e-03,2.761600982477568245e+00,8.990297432439339764e-02,2.019420415879984165e-02,9.052858450277772749e-04,-8.348999062751122358e-02,3.334615806042168229e-02,-1.076079289643664056e-03,-2.535212515253246440e-04,7.851098041492146629e-02
1.600000000000000033e-01,0.000000000000000000e+00,-1.334780954051153698e-02,5.335519546717309818e-03,2.761751776759511667e+00,8.992061470638645915e-02,2.293752934478561142e-02,8.588408386801858838e-04,-8.351140112809551930e-02,3.334010844008657853e-02,-1.064984114830933547e-03,-3.512531904528686378e-04,8.917999184031787097e-02
1.799999999999999933e-01,0.000000000000000000e+00,-1.501824982421568963e-02,6.002245005629616367e-03,2.761921670093378633e+00,8.993733150583396729e-02,2.564660810596763527e-02,8.129280099524011875e-04,-8.353259052474412694e-02,3.333211542365265706e-02,-1.053968835965049316e-03,-4.478615020170477511e-04,9.971713349596826592e-02
